alpha,attack_eps,coverage,coverage_certav_abstained,coverage_certified_at_radius,coverage_fake,coverage_real,coverage_uncertified_at_radius,key,mean_set_size,n,n_calibration,qhat,radius,score_type,singleton_rate,source,variant
0.2,0.25,0.9648484848484848,1.0,0.9605978260869565,1.0,0.6133333333333333,1.0,alpha_0.200__r_1.00__score_cp,1.2012121212121212,825,825,0.048021633141175024,1.0,cp,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,0.936969696969697,1.0,0.936969696969697,0.996,0.3466666666666667,,alpha_0.050__r_0.00__score_log,1.0981818181818181,825,825,1.995100393246085,0.0,log,0.9018181818181819,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,0.9187878787878788,1.0,0.9187878787878788,0.9893333333333333,0.21333333333333335,,alpha_0.100__r_0.00__score_log,1.0387878787878788,825,825,0.33827385856784115,0.0,log,0.9612121212121212,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9648484848484848,1.0,0.6133333333333333,,alpha_0.200__r_0.00__score_log,1.2012121212121212,825,825,0.028399474521698,0.0,log,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.25__score_log,2.0,825,825,0.6931471805599453,0.25,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,0.9187878787878788,1.0,0.9166666666666666,0.9893333333333333,0.21333333333333335,1.0,alpha_0.100__r_0.25__score_log,1.0387878787878788,825,825,0.40503028300454935,0.25,log,0.9612121212121212,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9639303482587065,1.0,0.6133333333333333,1.0,alpha_0.200__r_0.25__score_log,1.2012121212121212,825,825,0.04921296833675208,0.25,log,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.50__score_log,2.0,825,825,0.6931471805599453,0.5,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_0.50__score_log,2.0,825,825,0.6931471805599453,0.5,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9631979695431472,1.0,0.6133333333333333,1.0,alpha_0.200__r_0.50__score_log,1.2012121212121212,825,825,0.04921296833675208,0.5,log,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_1.00__score_log,2.0,825,825,0.6931471805599453,1.0,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_1.00__score_log,2.0,825,825,0.6931471805599453,1.0,log,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.2,0.25,0.9648484848484848,1.0,0.9605978260869565,1.0,0.6133333333333333,1.0,alpha_0.200__r_1.00__score_log,1.2012121212121212,825,825,0.04921296833675208,1.0,log,0.7987878787878788,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.25
0.05,0.5,0.9296969696969697,1.0,0.9296969696969697,0.9946666666666667,0.28,,alpha_0.050__r_0.00__score_raw,1.1066666666666667,825,825,0.864,0.0,raw,0.8933333333333333,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,0.9103030303030303,1.0,0.9103030303030303,0.988,0.13333333333333333,,alpha_0.100__r_0.00__score_raw,1.052121212121212,825,825,0.28700000000000003,0.0,raw,0.9478787878787879,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9527272727272728,1.0,0.48,,alpha_0.200__r_0.00__score_raw,1.2327272727272727,825,825,0.028000000000000025,0.0,raw,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.25__score_raw,2.0,825,825,0.5,0.25,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,0.9103030303030303,1.0,0.9066834804539723,0.988,0.13333333333333333,1.0,alpha_0.100__r_0.25__score_raw,1.052121212121212,825,825,0.33304338689749724,0.25,raw,0.9478787878787879,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9508196721311475,1.0,0.48,1.0,alpha_0.200__r_0.25__score_raw,1.2327272727272727,825,825,0.048021633141175024,0.25,raw,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_0.50__score_raw,2.0,825,825,0.5,0.5,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_0.50__score_raw,2.0,825,825,0.5,0.5,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.2,0.5,0.9527272727272728,1.0,0.9499358151476252,1.0,0.48,1.0,alpha_0.200__r_0.50__score_raw,1.2327272727272727,825,825,0.048021633141175024,0.5,raw,0.7672727272727272,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.050__r_1.00__score_raw,2.0,825,825,0.5,1.0,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
0.1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,alpha_0.100__r_1.00__score_raw,2.0,825,825,0.5,1.0,raw,0.0,/kaggle/working/phase2/conformal/anisotropic_strat1_seed2026_test_eval.json,pgd_eps_0.50
